timestamp,temperature,humidity,precipitation,cloud_cover,wind_speed,wind_direction
20200416T0000,26.373968,82,0,0,2.260479,135
20200416T0100,25.983969,84,0,0,2.1477854,119.74488
20200416T0200,25.593967,86,0,0,2.7167575,101.30993
20200416T0300,25.113968,89,0,72,2.9304,89.99999
20200416T0400,25.223969,89,0,100,2.9304,89.99999
20200416T0500,25.413969,88,0,100,2.9424841,84.805565
20200416T0600,25.623968,86,0,10,2.9784424,79.695145
20200416T0700,28.033968,75,0,12,3.554219,77.00538
20200416T0800,29.743969,66,0,10,4.13564,75.06858
20200416T0900,31.313969,57,0,10,4.212154,71.56504
20200416T1000,31.443968,55,0,63,3.9603205,70.346176
20200416T1100,32.06397,52,0,64,3.5741313,63.43495
20200416T1200,32.363968,50,0.1,81,3.3379824,61.38954
20200416T1300,32.443966,50,0.2,57,2.8692157,68.19859
20200416T1400,32.643967,50,0.3,81,2.5272923,71.56504
20200416T1500,32.083965,52,0.5,91,2.4560864,77.47118
20200416T1600,31.473969,55,0.6,96,2.1477854,82.874985
20200416T1700,30.693968,59,0.6,10,1.8648,89.99999
20200416T1800,29.963968,64,0.2,10,1.5984001,89.99999
20200416T1900,29.113968,68,0,10,2.6772869,95.71059
20200416T2000,29.803968,60,0,100,4.598777,100.00798
20200416T2100,29.423967,63,0,100,4.824709,96.34019
20200416T2200,27.923967,69,0,6.3,5.0615997,89.99999
20200416T2300,27.073969,73,0,5.7000003,5.328,89.99999
20200417T0000,26.353968,77,0,6.3,5.068606,86.98721
20200417T0100,25.663969,80,0,4.8,5.1243067,81.02737
20200417T0200,25.033968,82,0,3,4.4656777,72.64597
20200417T0300,24.493969,85,0,3.9,4.652476,66.37062
20200417T0400,24.103968,87,0,6.3,4.4097047,64.98311
20200417T0500,23.783968,89,0,14,4.6600966,59.036232
20200417T0600,24.023968,87,0,13,5.328,53.130096
20200417T0700,27.543968,71,0,11.700001,6.4433565,60.25511
20200417T0800,29.673967,61,0,12,7.6285343,65.224846
20200417T0900,31.713968,54,0,9.6,8.787163,75.96376
20200417T1000,33.233967,49,0,10,9.889148,85.36454
20200417T1100,33.593967,46,0,51,10.659329,88.5679
20200417T1200,34.063965,44,0,62,10.656,89.99999
20200417T1300,33.573967,45,0,10,9.8568,89.99999
20200417T1400,33.283966,45,0,10,9.3278055,88.36342
20200417T1500,34.523968,42,0,100,8.80733,86.53177
20200417T1600,34.023968,43,0,100,8.628235,81.11935
20200417T1700,32.543964,47,0,10,8.935328,79.695145
20200417T1800,31.773968,50,0,10,8.5621805,84.64417
